Gene,Non-unique Gene name,Annotation,GCF_000171535.2,GCF_000171415.1,GCF_000171515.1,GCF_000170215.1,GCF_000020745.1,GCF_000022165.1,GCF_000020925.1,GCF_000007545.1,GCF_000020885.1
group_4627,,Glycosyltransferase family 2 protein,ONMMKP_01429,IKCLMC_00433,,ODDLKH_01216,LNHIMF_00864,AJBGEP_00749,,GEGEGB_02262,
group_4624,,Type I-E CRISPR-associated protein Cse1/CasA,ONMMKP_03919,IKCLMC_03942,,ODDLKH_03361,,AJBGEP_03099,HFCAGB_03147,,BEJGEH_02935
group_4562,,Phage tail protein,ONMMKP_01098,IKCLMC_00244,PKJKAM_00257,ODDLKH_01690,LNHIMF_00679,AJBGEP_01293,,,
group_4561,,Phage tail tape measure protein,ONMMKP_01094,IKCLMC_00334,PKJKAM_00253,ODDLKH_01694,LNHIMF_00683,AJBGEP_01297,,,
group_4545,,Endonuclease,ONMMKP_03813,IKCLMC_03842,,3_refound_39_pseudo,,AJBGEP_03198,HFCAGB_03254,GEGEGB_03096,
group_4543,,hypothetical protein,ONMMKP_00674,IKCLMC_04819,PKJKAM_00858,,,AJBGEP_01456,,GEGEGB_01316,BEJGEH_01710
group_4539,,hypothetical protein,ONMMKP_01137,IKCLMC_01595,PKJKAM_00151,,,AJBGEP_01000,HFCAGB_01051,GEGEGB_02029,
group_4522,,Gp37 protein,ONMMKP_02570,IKCLMC_01047,PKJKAM_01322,ODDLKH_00074,,AJBGEP_04413,,,BEJGEH_04268
group_4521,,Soluble lytic murein transglycosylase,ONMMKP_02568,IKCLMC_01049,PKJKAM_01320,ODDLKH_00076,,AJBGEP_04415,,,BEJGEH_04270
group_4475,,Phage tail assembly protein,ONMMKP_02574,IKCLMC_01043,PKJKAM_01326,ODDLKH_00070,,AJBGEP_04409,,,BEJGEH_04264
group_4462,,Flagellin,ONMMKP_04097,IKCLMC_04118,PKJKAM_02631,ODDLKH_03184,LNHIMF_02798,AJBGEP_02921,,,
group_4448,,hypothetical protein,ONMMKP_02583,IKCLMC_01033,PKJKAM_01335,ODDLKH_00060,,AJBGEP_04400,,,BEJGEH_04255
group_4422,,DUF1120 domain-containing protein,ONMMKP_02204,IKCLMC_03255,PKJKAM_02150,ODDLKH_00449,,AJBGEP_04777,,,BEJGEH_04666
group_4421,,hypothetical protein;Glycosyl transferase,ONMMKP_01430,IKCLMC_00434,,ODDLKH_01215,LNHIMF_00863,AJBGEP_00748,,GEGEGB_02263;GEGEGB_02264,
group_4411,,Gifsy-1 prophage protein,ONMMKP_01092,IKCLMC_01204,PKJKAM_00251,ODDLKH_01696,LNHIMF_00685,AJBGEP_01299,,,
group_4409,,hypothetical protein,ONMMKP_01437,IKCLMC_00441,,ODDLKH_01208,LNHIMF_00856,AJBGEP_00741,,GEGEGB_02271,
group_4400,,Cytoplasmic protein;hypothetical protein,ONMMKP_01427,IKCLMC_00431,,ODDLKH_01218,LNHIMF_00866,AJBGEP_00751,,GEGEGB_02259,
group_4371,,Type I-E CRISPR-associated protein Cas6/Cse3/CasE,ONMMKP_03923,IKCLMC_03946,,ODDLKH_03357,,AJBGEP_03095,HFCAGB_03143,,BEJGEH_02931
ydaV,ydaV,Uncharacterized protein YdaV,,,PKJKAM_00045,ODDLKH_01659,LNHIMF_02189,AJBGEP_01010,HFCAGB_01060,GEGEGB_02018,
group_4346,,hypothetical protein,,,,ODDLKH_02580,LNHIMF_02224,AJBGEP_02247,HFCAGB_02346,GEGEGB_00832,BEJGEH_02106
rfbN,rfbN,O antigen biosynthesis rhamnosyltransferase RfbN,,,,ODDLKH_02579,LNHIMF_02223,AJBGEP_02246,HFCAGB_02345,GEGEGB_00833,BEJGEH_02105
group_4257,,Type I-E CRISPR-associated protein Cse2/CasB,ONMMKP_03920,IKCLMC_03943,,ODDLKH_03360,,AJBGEP_03098,HFCAGB_03146,,BEJGEH_02934
group_4252,,Integrase,,IKCLMC_02277,,ODDLKH_00979,LNHIMF_00518,AJBGEP_00513,HFCAGB_00518,GEGEGB_02490,
nucS,nucS,Endonuclease NucS,ONMMKP_02249,IKCLMC_03312,PKJKAM_02202,,LNHIMF_04583,,HFCAGB_04743,,BEJGEH_04625
group_4235,,Cytoplasmic protein,0_refound_8,IKCLMC_03024,PKJKAM_00730,ODDLKH_00678,,AJBGEP_00206,HFCAGB_00205,,
group_4233,,Integrase catalytic domain-containing protein,ONMMKP_03180,1_refound_19_pseudo,PKJKAM_03722,,,,6_refound_72_pseudo,7_refound_86_pseudo,BEJGEH_03688
group_4218,,hypothetical protein,ONMMKP_00322,,PKJKAM_04475,,LNHIMF_01781,,HFCAGB_01562,GEGEGB_01715,BEJGEH_01352
group_4167,,hypothetical protein;Glycosyl transferase,ONMMKP_01428,IKCLMC_00432,,ODDLKH_01217,LNHIMF_00865,AJBGEP_00750,,GEGEGB_02260;GEGEGB_02261,
group_4144,,CRISPR-associated endonuclease/helicase Cas3;hypothetical protein,ONMMKP_03918,IKCLMC_03941,,ODDLKH_03362,,AJBGEP_03100,HFCAGB_03148;HFCAGB_03149,,BEJGEH_02936
group_4118,,Tail component of prophage CP-933K;Tail assembly protein,ONMMKP_01090,IKCLMC_01206,PKJKAM_00249,ODDLKH_01698,LNHIMF_00687,AJBGEP_01301,,,
group_4102,vapC,tRNA(fMet)-specific endonuclease VapC,ONMMKP_03815,IKCLMC_03844,,ODDLKH_03459,,AJBGEP_03196,HFCAGB_03252,GEGEGB_03094,
group_4081,,Cytoplasmic protein,ONMMKP_03958,IKCLMC_03981,PKJKAM_02493,ODDLKH_03322,,AJBGEP_03060,,,BEJGEH_02891
rhsB,rhsB,Putative deoxyribonuclease RhsB,,IKCLMC_02067,,ODDLKH_00778,LNHIMF_00306,AJBGEP_00306,HFCAGB_00304,GEGEGB_02700,
group_4033,,hypothetical protein,ONMMKP_00162,IKCLMC_04306,PKJKAM_04308,ODDLKH_02358,,AJBGEP_01964,HFCAGB_01403,,
yefM,yefM,Orphan antitoxin YefM,ONMMKP_03279,IKCLMC_02849,PKJKAM_03821,ODDLKH_03999,,AJBGEP_03738,HFCAGB_03793,,
group_3989,,Phage protein D,ONMMKP_02578,IKCLMC_01039,PKJKAM_01330,ODDLKH_00066,,AJBGEP_04405,,,BEJGEH_04260
group_3939,,hypothetical protein;dTDP-fucopyranose mutase,ONMMKP_01435,IKCLMC_00439,,ODDLKH_01210,LNHIMF_00858,AJBGEP_00743,,GEGEGB_02269,
group_3924,,Putative phage tail protein,ONMMKP_02575,IKCLMC_01042,PKJKAM_01327,ODDLKH_00069,,AJBGEP_04408,,,BEJGEH_04263
group_3889,,hypothetical protein;ABC transporter permease protein,ONMMKP_01432,IKCLMC_00436,,ODDLKH_01213,LNHIMF_00861,AJBGEP_00746,,GEGEGB_02266,
group_3852,,hypothetical protein,ONMMKP_03280,IKCLMC_02850,PKJKAM_03822,ODDLKH_03998,,AJBGEP_03737,HFCAGB_03792,,
fljA,fljA,phase 1 flagellin gene repressor FljA,ONMMKP_04098,IKCLMC_04119,PKJKAM_02632,ODDLKH_03183,LNHIMF_02797,AJBGEP_02920,,,
tlde1,;tlde1,hypothetical protein;type VI secretion system effector tlde1 LD-transpeptidase,,IKCLMC_02064,PKJKAM_03479,ODDLKH_00775,,AJBGEP_00303,HFCAGB_00301,GEGEGB_02703,
parD,parD,Antitoxin ParD,,IKCLMC_03929,,ODDLKH_03374,LNHIMF_02987,AJBGEP_03112,,GEGEGB_03003,BEJGEH_02955
sciR,sciR,Shiga-like toxin A subunit SciR,,IKCLMC_02058,PKJKAM_03485,ODDLKH_00771,LNHIMF_00299,AJBGEP_00299,HFCAGB_00297,,
group_3709,,DNA-binding protein,,,PKJKAM_00043,ODDLKH_01657,LNHIMF_02191,AJBGEP_01008,HFCAGB_01058,GEGEGB_02020,
group_3683,,BIG2 domain-containing protein,ONMMKP_01097,IKCLMC_00331,PKJKAM_00256,ODDLKH_01691,LNHIMF_00680,AJBGEP_01294,,,
group_3681,,Phage minor tail protein G,ONMMKP_01096,IKCLMC_00332,PKJKAM_00255,ODDLKH_01692,LNHIMF_00681,AJBGEP_01295,,,
group_3679,,Gifsy-1 prophage protein,ONMMKP_01095,IKCLMC_00333,PKJKAM_00254,ODDLKH_01693,LNHIMF_00682,AJBGEP_01296,,,
group_3677,,Gifsy-1 prophage protein,ONMMKP_01093,IKCLMC_01203,PKJKAM_00252,ODDLKH_01695,LNHIMF_00684,AJBGEP_01298,,,
group_3519,,hypothetical protein,,,PKJKAM_02109,3_refound_35_pseudo,4_refound_46_pseudo,5_refound_58_pseudo,HFCAGB_00015,,BEJGEH_00015
group_3385,,Cardiolipin synthase N-terminal domain-containing protein,ONMMKP_03662,IKCLMC_03707,PKJKAM_01921,ODDLKH_03595,,AJBGEP_03335,HFCAGB_03391,,
group_3377,,Cytoplasmic protein,ONMMKP_02571,IKCLMC_01046,PKJKAM_01323,ODDLKH_00073,,AJBGEP_04412,,,BEJGEH_04267
group_3374,,Cold-shock protein,ONMMKP_01197,IKCLMC_01536,PKJKAM_00999,,,,HFCAGB_00993,GEGEGB_02091,BEJGEH_00907
group_3331,,Tail protein X,ONMMKP_02577,IKCLMC_01040,PKJKAM_01329,ODDLKH_00067,,AJBGEP_04406,,,BEJGEH_04261
vapB,vapB,toxin-antitoxin system antitoxin VapB,ONMMKP_03814,IKCLMC_03843,,ODDLKH_03460,,AJBGEP_03197,HFCAGB_03253,GEGEGB_03095,
xis,xis,excisionase Xis,ONMMKP_01138,IKCLMC_01594,PKJKAM_00150,,,AJBGEP_00999,HFCAGB_01050,GEGEGB_02030,
group_3023,,Holin,ONMMKP_02567,IKCLMC_01050,PKJKAM_01319,ODDLKH_00077,,AJBGEP_04416,,,BEJGEH_04271
group_2922,,Inner membrane protein,ONMMKP_02569,IKCLMC_01048,PKJKAM_01321,ODDLKH_00075,,AJBGEP_04414,,,BEJGEH_04269
group_2765,,Putative phage baseplate protein gpW,ONMMKP_02582,IKCLMC_01034,PKJKAM_01334,ODDLKH_00061,,AJBGEP_04401,,,BEJGEH_04256
group_2682,,putative periplasmic protein,,IKCLMC_02063,PKJKAM_03480,ODDLKH_00774,,AJBGEP_00302,HFCAGB_00300,GEGEGB_02704,
group_2575,,PTS sugar transporter,,IKCLMC_03294,PKJKAM_02189,ODDLKH_00410,LNHIMF_04591,AJBGEP_04738,HFCAGB_04764,,
group_2507,,DUF1795 domain-containing protein,,IKCLMC_02066,,ODDLKH_00777,LNHIMF_00305,AJBGEP_00305,HFCAGB_00303,GEGEGB_02701,
group_2457,,PTS system IIb component,,IKCLMC_03293,PKJKAM_02188,ODDLKH_00411,LNHIMF_04592,AJBGEP_04739,HFCAGB_04765,,
group_2253,,Phage major tail tube protein,ONMMKP_02573,IKCLMC_01044,PKJKAM_01325,ODDLKH_00071,,AJBGEP_04410,,,BEJGEH_04265
group_2121,,Tyrosine recombinase,ONMMKP_01438,IKCLMC_00442,,ODDLKH_01207,LNHIMF_00855,AJBGEP_00740,,GEGEGB_02272,
hin,hin,flagellar phase variation DNA invertase Hin,ONMMKP_04096,IKCLMC_04117,PKJKAM_02630,ODDLKH_03185,LNHIMF_02799,AJBGEP_02922,,,
group_2103,,Outer membrane protein,ONMMKP_02207,IKCLMC_03258,PKJKAM_02153,ODDLKH_00446,,AJBGEP_04774,,,BEJGEH_04663
group_1999,,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,ONMMKP_03002,IKCLMC_02579,PKJKAM_03546,ODDLKH_04277,,AJBGEP_04018,HFCAGB_04073,,
group_1956,,Phage tail protein,ONMMKP_02584,IKCLMC_01032,PKJKAM_01336,ODDLKH_00059,,AJBGEP_04399,,,BEJGEH_04254
dgoR,dgoR,D-galactonate utilization transcriptional regulator DgoR,ONMMKP_03000,IKCLMC_02577,PKJKAM_03544,ODDLKH_04279,,AJBGEP_04020,HFCAGB_04075,,
stjC,stjC,fimbrial biogenesis chaperone StjC,ONMMKP_02205,IKCLMC_03256,PKJKAM_02151,ODDLKH_00448,,AJBGEP_04776,,,BEJGEH_04665
group_1774,,Sugar ABC transporter ATP-binding protein,ONMMKP_01431,IKCLMC_00435,,ODDLKH_01214,LNHIMF_00862,AJBGEP_00747,,GEGEGB_02265,
group_1749,,Phage baseplate assembly protein V,ONMMKP_02579,IKCLMC_01038,PKJKAM_01331,ODDLKH_00065,,AJBGEP_04404,,,BEJGEH_04259
group_1701,,Transport protein,ONMMKP_01436,IKCLMC_00440,,ODDLKH_01209,LNHIMF_00857,AJBGEP_00742,,GEGEGB_02270,
group_1618,,PTS system mannose-specific IIC component,,IKCLMC_03292,PKJKAM_02187,ODDLKH_00412,LNHIMF_04593,AJBGEP_04740,HFCAGB_04766,,
group_1486,,PTS mannose transporter subunit IID,,IKCLMC_03291,PKJKAM_02186,ODDLKH_00413,LNHIMF_04594,AJBGEP_04741,HFCAGB_04767,,
group_1401,,2-oxo-3-deoxygalactonate kinase,ONMMKP_03001,IKCLMC_02578,PKJKAM_03545,ODDLKH_04278,,AJBGEP_04019,HFCAGB_04074,,
group_1365,,Glycosyltransferase,ONMMKP_01434,IKCLMC_00438,,ODDLKH_01211,LNHIMF_00859,AJBGEP_00744,,GEGEGB_02268,
group_1267,,Glycosyltransferase 2-like domain-containing protein,ONMMKP_02580,IKCLMC_01037,PKJKAM_01332,ODDLKH_00064,,AJBGEP_04403,,,BEJGEH_04258
group_1211,,Methyl-accepting chemotaxis protein,ONMMKP_02576,IKCLMC_01041,PKJKAM_01328,ODDLKH_00068,,AJBGEP_04407,,,BEJGEH_04262
group_1155,,Bacteriophage lambda Replication protein O N-terminal domain-containing protein,,,PKJKAM_00044,ODDLKH_01658,LNHIMF_02190,AJBGEP_01009,HFCAGB_01059,GEGEGB_02019,
group_1087,,Fructosamine deglycase,,IKCLMC_03289,PKJKAM_02184,ODDLKH_00415,LNHIMF_04596,AJBGEP_04743,HFCAGB_04769,,
group_985,,Phosphosugar isomerase,,IKCLMC_03290,PKJKAM_02185,ODDLKH_00414,LNHIMF_04595,AJBGEP_04742,HFCAGB_04768,,
group_876,,Galactosyl transferase,ONMMKP_01433,IKCLMC_00437,,ODDLKH_01212,LNHIMF_00860,AJBGEP_00745,,GEGEGB_02267,
group_846,,D-galactonate dehydratase,ONMMKP_03003,IKCLMC_02580,PKJKAM_03547,ODDLKH_04276,,AJBGEP_04017,HFCAGB_04072,,
group_647,,MFS transporter,ONMMKP_03004,IKCLMC_02581,PKJKAM_03548,ODDLKH_04275,,AJBGEP_04016,HFCAGB_04071,,
int,int,FimB-specific integrase,ONMMKP_01139,IKCLMC_01593,PKJKAM_00149,,,AJBGEP_00998,HFCAGB_01049,GEGEGB_02031,
group_477,,hypothetical protein,ONMMKP_02572,IKCLMC_01045,PKJKAM_01324,ODDLKH_00072,,AJBGEP_04411,,,BEJGEH_04266
rfbK,rfbK,O-antigen biosynthesis phosphomannomutase RfbK,,,,ODDLKH_02577,LNHIMF_02221,AJBGEP_02244,HFCAGB_02343,GEGEGB_00835,BEJGEH_02103
group_366,,hypothetical protein,ONMMKP_02581,IKCLMC_01036,PKJKAM_01333,ODDLKH_00063,,AJBGEP_04402,,,BEJGEH_04257
stjB,stjB,StjB fimbria biogenesis outer membrane usher protein StjB,ONMMKP_02206,IKCLMC_03257,PKJKAM_02152,ODDLKH_00447,,AJBGEP_04775,,,BEJGEH_04664
group_42,,Sigma 54-interacting transcriptional regulator,,IKCLMC_03295,PKJKAM_02190,ODDLKH_00409,LNHIMF_04590,AJBGEP_04737,HFCAGB_04763,,
recT,;recT,hypothetical protein;Recombination protein RecT,,IKCLMC_00915,,ODDLKH_01649,,AJBGEP_01247,HFCAGB_01347,GEGEGB_01071,
group_4775,symE,Toxic protein SymE,ONMMKP_02247,,PKJKAM_02200,ODDLKH_00397,,AJBGEP_04725,,GEGEGB_04817,
group_4757,,Antitermination protein Q,,IKCLMC_00223,,ODDLKH_01671,,AJBGEP_01018,HFCAGB_01070,GEGEGB_02006,
sopE,sopE,Guanine nucleotide exchange factor SopE;SPI-1 type III secretion system guanine nucleotide exchange factor SopE,ONMMKP_01083,,PKJKAM_00243,,LNHIMF_04315,,HFCAGB_01399,GEGEGB_04539,
group_4734,,hypothetical protein,ONMMKP_03078,,,ODDLKH_04202,,AJBGEP_03942,HFCAGB_04001,GEGEGB_03970,
group_4710,,hypothetical protein,ONMMKP_01132,IKCLMC_01598,,ODDLKH_01653,,AJBGEP_01250,HFCAGB_01055,,
group_4693,,Tail completion protein,,IKCLMC_00242,PKJKAM_00258,ODDLKH_01689,LNHIMF_00678,AJBGEP_02779,,,
group_4634,,Exodeoxyribonuclease VIII;hypothetical protein,ONMMKP_01135,IKCLMC_01597,PKJKAM_00153,,,AJBGEP_01249;AJBGEP_01002,HFCAGB_01054,,
group_4629,,Fimbrial protein,ONMMKP_03901,,PKJKAM_02435,,,,HFCAGB_03165,GEGEGB_02999,BEJGEH_02952
group_4607,,Transposase,,,,ODDLKH_01042,,AJBGEP_00577,HFCAGB_00646,GEGEGB_02425,8_refound_100
group_4595,,Inner membrane protein,ONMMKP_00133,,PKJKAM_04278,,LNHIMF_01968,,HFCAGB_01318,GEGEGB_01044,
group_4594,,hypothetical protein;RNA 3'-terminal-phosphate cyclase (ATP);RNA 3'-terminal phosphate cyclase,,IKCLMC_02894,,ODDLKH_03955,,AJBGEP_03693,HFCAGB_03748;HFCAGB_03747,,BEJGEH_03544
group_4579,,hypothetical protein,,IKCLMC_03930,,ODDLKH_03373,LNHIMF_02986,AJBGEP_03111,,GEGEGB_03002,
group_4577,,Phage tail protein,,IKCLMC_00572,PKJKAM_00245,,LNHIMF_00690,AJBGEP_01048,HFCAGB_01396,,
group_4569,,Copper-binding protein,ONMMKP_01587,,,,LNHIMF_00711,,HFCAGB_00653,GEGEGB_02419,BEJGEH_00574
group_4544,,hypothetical protein,0_refound_9,,2_refound_30,ODDLKH_01853,LNHIMF_01424,,HFCAGB_01905,,
group_4463,,Entericidin A,,IKCLMC_01169,,ODDLKH_00207,,AJBGEP_04534,,GEGEGB_04622,BEJGEH_04403
group_4452,,hypothetical protein,,IKCLMC_02650,PKJKAM_03622,,LNHIMF_03795,,,GEGEGB_03969,BEJGEH_03801
group_4449,,Phage tail protein;hypothetical protein;Putative side tail phage protein,ONMMKP_02585,IKCLMC_01031,PKJKAM_01337,,,AJBGEP_04398,,,BEJGEH_04253
group_4427,,Secreted protein,,IKCLMC_02764,PKJKAM_03736,ODDLKH_04084,,AJBGEP_03824,HFCAGB_03880,,
group_4395,;steA,hypothetical protein;Fimbrial protein SteA,ONMMKP_03906,,PKJKAM_02440,,,,HFCAGB_03160,GEGEGB_02993;GEGEGB_02994,BEJGEH_02947
group_4390,,HAD family phosphatase,,IKCLMC_01027,PKJKAM_01341,,LNHIMF_04232,,HFCAGB_04444,GEGEGB_04348,
group_4381,tacA2,Antitoxin TacA2,,,,ODDLKH_00176,LNHIMF_04393,AJBGEP_04515,HFCAGB_04546,GEGEGB_04451,
group_4372,,PTS EIIB type-2 domain-containing protein;PTS fructose transporter subunit IIC,,IKCLMC_03616,PKJKAM_01791,ODDLKH_03685,,AJBGEP_03425,,GEGEGB_03337,
group_4345,,VWFA domain-containing protein,,IKCLMC_01706,,ODDLKH_02816,,AJBGEP_02482,HFCAGB_02574,,BEJGEH_02338
group_4311,,hypothetical protein,ONMMKP_00112,,,ODDLKH_02406,LNHIMF_01988,5_refound_62,,,8_refound_99
group_4236,,Aldose-1-epimerase,,,,ODDLKH_04467,LNHIMF_04062,AJBGEP_04217,HFCAGB_04262,GEGEGB_03789,
group_4219,,Inner membrane protein,ONMMKP_02010,IKCLMC_03061,PKJKAM_00775,,,,HFCAGB_00168,,BEJGEH_00178
dinI,;dinI,hypothetical protein;DinI family protein,,IKCLMC_00579,PKJKAM_00241,,,AJBGEP_01055,HFCAGB_01104,GEGEGB_01968,
group_4184,,hypothetical protein;DNA breaking-rejoining protein;Enterohemolysin,ONMMKP_01136,IKCLMC_01596,PKJKAM_00152,,,AJBGEP_01001,HFCAGB_01052;HFCAGB_01053,,
group_4169,,Fimbrial subunit,ONMMKP_03902,,PKJKAM_02436,,,,HFCAGB_03164,GEGEGB_02998,BEJGEH_02951
group_4095,,hypothetical protein,,,,ODDLKH_01043,,AJBGEP_00578,HFCAGB_00647,GEGEGB_02424,BEJGEH_00568
ypfL,;ypfL,hypothetical protein;Uncharacterized protein YpfL,,,,ODDLKH_02957,,AJBGEP_02623,HFCAGB_02723,GEGEGB_00441,BEJGEH_02478
group_4050,,putative periplasmic protein;hypothetical protein,,IKCLMC_02052,PKJKAM_03491,ODDLKH_00765,LNHIMF_00292,AJBGEP_00293,,,
group_4009,,hypothetical protein,,IKCLMC_03526,PKJKAM_01700,ODDLKH_03777,,AJBGEP_03514,HFCAGB_03569,,
group_3977,,tRNA-acetylating toxin 2,,,,ODDLKH_00177,LNHIMF_04394,AJBGEP_04516,HFCAGB_04547,GEGEGB_04452,
group_3970,,Fimbrial protein,ONMMKP_03903,,PKJKAM_02437,,,,HFCAGB_03163,GEGEGB_02997,BEJGEH_02950
gtrC1,gtrC1,putative glucosyltransferase GtrC1,,,,ODDLKH_01045,,AJBGEP_00580,HFCAGB_00649,GEGEGB_02423,BEJGEH_00570
group_3882,,Inner membrane protein,,IKCLMC_02515,,ODDLKH_01164,,AJBGEP_00697,HFCAGB_00766,,BEJGEH_00683
group_3844,,PTS sugar transporter,,IKCLMC_01029,PKJKAM_01339,,LNHIMF_04234,,HFCAGB_04446,GEGEGB_04350,
group_3840,,hypothetical protein,ONMMKP_02368,,PKJKAM_02303,ODDLKH_00288,,AJBGEP_04615,,,BEJGEH_04485
group_3732,,Endonuclease,,1_refound_16,PKJKAM_00272,ODDLKH_01676,,AJBGEP_01024,HFCAGB_01370,,
group_3715,,Insertion element IS3 family protein,ONMMKP_02683,IKCLMC_03978,PKJKAM_02712,,LNHIMF_00817,,,,BEJGEH_00691
group_3705,ninG,Protein NinG,ONMMKP_01117,IKCLMC_00301,PKJKAM_00280,,LNHIMF_02182,AJBGEP_02805,,,
ylcG,ylcG,YlcG family protein,ONMMKP_01116,IKCLMC_00302,PKJKAM_00279,,LNHIMF_02181,AJBGEP_02804,,,
group_3498,,hypothetical protein,,,,ODDLKH_01044,,AJBGEP_00579,HFCAGB_00648,7_refound_82_pseudo,BEJGEH_00569
brnT,brnT,BrnT family toxin,,IKCLMC_03301,,ODDLKH_00403,,AJBGEP_04731,HFCAGB_04757,GEGEGB_04824,
group_2963,,Toxin-antitoxin system antitoxin component,,IKCLMC_03300,,ODDLKH_00404,,AJBGEP_04732,HFCAGB_04758,GEGEGB_04825,
group_2901,,PTS system fructose-like EIIB component 2,,IKCLMC_00785,PKJKAM_01387,ODDLKH_04563,,AJBGEP_04313,HFCAGB_04362,,
group_2890,,Phosphotyrosine protein phosphatase I domain-containing protein,ONMMKP_02009,IKCLMC_03060,PKJKAM_00773,,,,HFCAGB_00169,,BEJGEH_00179
group_2873,,hypothetical protein,,,,ODDLKH_02956,,AJBGEP_02622,HFCAGB_02722,GEGEGB_00442,BEJGEH_02477
group_2786,,protein-N(pi)-phosphohistidine--D-fructose phosphotransferase,,IKCLMC_00788,PKJKAM_01384,ODDLKH_04566,,AJBGEP_04316,HFCAGB_04365,,
group_2508,,Cytoplasmic protein,,IKCLMC_02076,PKJKAM_03470,ODDLKH_00779,LNHIMF_00308,AJBGEP_00309,,,
group_2497,,Lipoprotein,,,PKJKAM_00275,ODDLKH_01673,,AJBGEP_01021,HFCAGB_01367,GEGEGB_02004,
group_2487,,Endolysin,,1_refound_13,PKJKAM_00271,ODDLKH_01677,,AJBGEP_01025,HFCAGB_01371,,
group_2377,,Hcp1 family type VI secretion system effector,,IKCLMC_02053,PKJKAM_03490,ODDLKH_00766,LNHIMF_00293,AJBGEP_00294,,,
tae4,tae4,type VI secretion system effector tae4 LD-endopeptidase,,IKCLMC_02051,PKJKAM_03492,ODDLKH_00764,LNHIMF_00291,AJBGEP_00292,,,
yfeL,yfeL,Uncharacterized protein YfeL,ONMMKP_04392,IKCLMC_01364,,,,AJBGEP_02609,HFCAGB_02709,,BEJGEH_02464
group_1735,,Cytoplasmic protein,ONMMKP_02589,,,ODDLKH_00054,,AJBGEP_04395,HFCAGB_04447,,BEJGEH_04250
group_1666,deoR,DeoR family transcriptional regulator,,IKCLMC_01026,PKJKAM_01342,,LNHIMF_04231,,HFCAGB_04443,GEGEGB_04347,
yfcS,yfcS,Fimbrial chaperone yfcS,ONMMKP_03904,,PKJKAM_02438,,,,HFCAGB_03162,GEGEGB_02996,BEJGEH_02949
group_1561,,5-deoxy-glucuronate isomerase,ONMMKP_02364,,PKJKAM_02298,ODDLKH_00292,,AJBGEP_04620,,,BEJGEH_04489
iolI2,iolI2,2-keto-myo-inositol isomerase IolI2,ONMMKP_02352,,PKJKAM_02286,ODDLKH_00304,,AJBGEP_04632,,,BEJGEH_04501
group_1515,,HTH deoR-type domain-containing protein,,IKCLMC_03619,PKJKAM_01794,ODDLKH_03682,,AJBGEP_03422,,GEGEGB_03334,
iolR,iolR,myo-inositol utilization transcriptional regulator IolR,ONMMKP_02367,,PKJKAM_02302,ODDLKH_00289,,AJBGEP_04616,,,BEJGEH_04486
iolI1,iolI1,2-keto-myo-inositol isomerase IolI1,ONMMKP_02358,,PKJKAM_02292,ODDLKH_00298,,AJBGEP_04626,,,BEJGEH_04495
group_1509,,Histidine biosynthesis protein,,IKCLMC_01028,PKJKAM_01340,,LNHIMF_04233,,HFCAGB_04445,GEGEGB_04349,
reiD,reiD,myo-inositol utilization transcriptional regulator ReiD,ONMMKP_02362,,PKJKAM_02296,ODDLKH_00294,,AJBGEP_04622,,,BEJGEH_04491
group_1406,,Pyruvate formate-lyase 2-activating enzyme,,IKCLMC_00787,PKJKAM_01385,ODDLKH_04565,,AJBGEP_04315,HFCAGB_04364,,
iolH,iolH,sugar phosphate isomerase/epimerase IolH,ONMMKP_02351,,PKJKAM_02285,ODDLKH_00305,,AJBGEP_04633,,,BEJGEH_04502
group_1336,,Inosose dehydratase,ONMMKP_02361,,PKJKAM_02295,ODDLKH_00295,,AJBGEP_04623,,,BEJGEH_04492
group_1305,,D-tagatose-1-phosphate kinase,,IKCLMC_03617,PKJKAM_01792,ODDLKH_03684,,AJBGEP_03424,,GEGEGB_03336,
group_1228,,2-dehydro-3-deoxygluconokinase,,IKCLMC_03620,PKJKAM_01795,ODDLKH_03681,,AJBGEP_03421,,GEGEGB_03333,
sseK1,sseK1,type III secretion system effector SseK1 Arginine N-Glycosyltransferase,ONMMKP_02626,,PKJKAM_00230,,,AJBGEP_04357,HFCAGB_04406,,BEJGEH_04208
iolG1,iolG1,inositol 2-dehydrogenase IolG1,ONMMKP_02360,,PKJKAM_02294,ODDLKH_00296,,AJBGEP_04624,,,BEJGEH_04493
iolG2,iolG2,D-chiro-inositol-2-dehydrogenase IolG2,ONMMKP_02354,,PKJKAM_02288,ODDLKH_00302,,AJBGEP_04630,,,BEJGEH_04499
group_977,,Putative cytoplasmic protein,,IKCLMC_03580,PKJKAM_01755,ODDLKH_03723,,AJBGEP_03458,,,BEJGEH_03310
group_959,,EIIBC-Fru,,IKCLMC_00784,PKJKAM_01388,ODDLKH_04562,,AJBGEP_04312,HFCAGB_04361,,
yfcJ,yfcJ,Uncharacterized MFS-type transporter YfcJ,ONMMKP_02357,,PKJKAM_02291,ODDLKH_00299,,AJBGEP_04627,,,BEJGEH_04496
rtcB,rtcB,RNA-splicing ligase RtcB,,IKCLMC_02893,,ODDLKH_03956,,AJBGEP_03694,HFCAGB_03749,,BEJGEH_03545
group_732,,Permease,ONMMKP_02353,,PKJKAM_02287,ODDLKH_00303,,AJBGEP_04631,,,BEJGEH_04500
