#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_63	155252	155359	+	IKCLMC_04344	4.2	9.6		SO:0001217, UniRef:UniRef50_A0A455RYX3
contig_63	156366	156605	-	IKCLMC_04346	8.4	9.6		
contig_63	269963	270145	-	IKCLMC_04459	6.2	10.0		
contig_63	296888	297058	-	IKCLMC_04486	6.0	4.3		
contig_63	331597	332442	+	IKCLMC_04519	29.6	5.5		
contig_63	336113	336451	-	IKCLMC_04523	13.1	5.0		
contig_63	353847	354113	+	IKCLMC_04541	8.7	7.6	PF03891.20|DUF333	PFAM:PF03891.20
contig_63	367174	367269	+	IKCLMC_04554	3.4	5.9		SO:0001217, UniRef:UniRef50_A0A3S4GLI1
contig_63	374829	375545	+	IKCLMC_04562	27.9	9.2		
contig_63	402566	403186	-	IKCLMC_04590	23.2	5.2		
contig_63	403183	403356	-	IKCLMC_04591	6.9	10.0		
contig_63	463982	464098	+	IKCLMC_04638	4.2	4.1		
contig_63	464456	464722	+	IKCLMC_04639	10.1	10.9	PF13384.12|HTH_23, PF13518.12|HTH_28	PFAM:PF13384.12, PFAM:PF13518.12
contig_63	482515	482925	+	IKCLMC_04658	15.2	5.8		
contig_63	487213	487740	+	IKCLMC_04663	19.2	9.2	PF08332.16|CaMKII_AD, PF11533.15|AtzH-like, PF13474.12|SnoaL_3, PF13577.12|SnoaL_4, PF14534.12|DUF4440	PFAM:PF08332.16, PFAM:PF11533.15, PFAM:PF13474.12, PFAM:PF13577.12, PFAM:PF14534.12
contig_63	498730	498825	+	IKCLMC_04676	3.5	5.4		
contig_63	500638	500820	-	IKCLMC_04680	6.1	9.9		
contig_63	530260	530352	-	IKCLMC_04708	3.3	4.4		
contig_63	546599	546865	+	IKCLMC_04723	9.9	6.9		
contig_63	559155	561362	+	IKCLMC_04736	78.7	8.9	PF00037.32|Fer4, PF01512.22|Complex1_51K, PF10531.15|SLBB, PF12797.12|Fer4_2, PF12838.12|Fer4_7, PF13183.11|Fer4_8, PF13237.11|Fer4_10, PF13375.12|RnfC_N, PF13534.11|Fer4_17	PFAM:PF00037.32, PFAM:PF01512.22, PFAM:PF10531.15, PFAM:PF12797.12, PFAM:PF12838.12, PFAM:PF13183.11, PFAM:PF13237.11, PFAM:PF13375.12, PFAM:PF13534.11
contig_63	633569	633871	+	IKCLMC_04819	11.0	9.1	PF04728.18|LPP	PFAM:PF04728.18
contig_63	667687	667878	+	IKCLMC_04850	7.1	6.7		
contig_63	681836	682150	-	IKCLMC_04866	12.3	9.4		
contig_63	682293	683252	+	IKCLMC_04867	34.8	5.9		
contig_63	701897	702112	-	IKCLMC_04888	8.6	8.5		SO:0001217, UniRef:UniRef50_A0A4Z0P2U0
