Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,GCF_000171535.2,GCF_000171415.1,GCF_000171515.1,GCF_000170215.1,GCF_000020745.1,GCF_000022165.1,GCF_000020925.1,GCF_000007545.1,GCF_000020885.1
group_2165,,Putative NAD(P)H nitroreductase,9,9,1.0,1,3206,,,,552,552,552.0,ONMMKP_00834,IKCLMC_04900,PKJKAM_00939,ODDLKH_01770,LNHIMF_01343,AJBGEP_01373,HFCAGB_01987,GEGEGB_01241,BEJGEH_01791
btuE,btuE,Thioredoxin/glutathione peroxidase BtuE,9,9,1.0,1,3205,,,,552,552,552.0,ONMMKP_00710,IKCLMC_04855,PKJKAM_00894,ODDLKH_01817,LNHIMF_01388,AJBGEP_01420,HFCAGB_01941,GEGEGB_01291,BEJGEH_01746
fliZ,fliZ,Regulator of sigma S factor FliZ,9,9,1.0,1,3204,,,,552,552,552.0,ONMMKP_00073,IKCLMC_04216,PKJKAM_04219,ODDLKH_02445,LNHIMF_02027,AJBGEP_02052,HFCAGB_01260,GEGEGB_00987,BEJGEH_01111
pduT,pduT,propanediol utilization microcompartment protein PduT,9,9,1.0,1,3198,,,,555,555,555.0,ONMMKP_04778,IKCLMC_01976,PKJKAM_04118,ODDLKH_02545,LNHIMF_02130,AJBGEP_02212,HFCAGB_02311,GEGEGB_00870,BEJGEH_02071
wcaF,wcaF,colanic acid biosynthesis acetyltransferase WcaF,9,9,1.0,1,3197,,,,555,555,555.0,ONMMKP_04727,IKCLMC_01913,PKJKAM_04056,ODDLKH_02604,LNHIMF_02252,AJBGEP_02271,HFCAGB_02371,GEGEGB_00806,BEJGEH_02130
group_2159,,NADH-quinone oxidoreductase subunit J,9,9,1.0,1,3196,,,,555,555,555.0,ONMMKP_04513,IKCLMC_01699,PKJKAM_02965,ODDLKH_02822,LNHIMF_02452,AJBGEP_02488,HFCAGB_02580,GEGEGB_00583,BEJGEH_02344
group_2158,,Putative NUDIX hydrolase,9,9,1.0,1,3195,,,,555,555,555.0,ONMMKP_04488,IKCLMC_01674,PKJKAM_02940,ODDLKH_02847,LNHIMF_02477,AJBGEP_02513,HFCAGB_02606,GEGEGB_00558,BEJGEH_02369
lptA,lptA,Lipopolysaccharide export system protein LptA,9,9,1.0,1,3194,,,,555,555,555.0,ONMMKP_03514,IKCLMC_03552,PKJKAM_01726,ODDLKH_03751,LNHIMF_03360,AJBGEP_03488,HFCAGB_03542,GEGEGB_03401,BEJGEH_03338
group_2157,,Transferase,9,9,1.0,1,3193,,,,555,555,555.0,ONMMKP_03432,IKCLMC_00047,PKJKAM_00136,ODDLKH_03836,LNHIMF_03444,AJBGEP_03572,HFCAGB_03628,GEGEGB_04329,BEJGEH_03422
ycdY,ycdY,Chaperone protein YcdY,9,9,1.0,1,3192,,,,555,555,555.0,ONMMKP_00999,IKCLMC_00806,PKJKAM_00623,ODDLKH_01540,LNHIMF_01169,AJBGEP_01136,HFCAGB_02161,GEGEGB_01880,BEJGEH_01957
group_2153,,Acyloxyacyl hydrolase,9,9,1.0,1,3185,,,,558,558,558.0,ONMMKP_04590,IKCLMC_01778,PKJKAM_03041,ODDLKH_02744,LNHIMF_02374,AJBGEP_02410,HFCAGB_02502,7_refound_78,BEJGEH_02266
dcrB,dcrB,Inner membrane lipoprotein DcrB,9,9,1.0,1,3184,,,,558,558,558.0,ONMMKP_03259,IKCLMC_02829,PKJKAM_03801,ODDLKH_04019,LNHIMF_03614,AJBGEP_03758,HFCAGB_03813,GEGEGB_04158,BEJGEH_03609
ytfJ,ytfJ,Uncharacterized protein YtfJ,9,9,1.0,1,3183,,,,558,558,558.0,ONMMKP_02381,IKCLMC_03424,PKJKAM_02316,ODDLKH_00275,LNHIMF_04491,AJBGEP_04602,HFCAGB_04632,GEGEGB_04691,BEJGEH_04472
group_2152,,Ribosome-recycling factor,9,9,1.0,1,3181,,,,558,558,558.0,ONMMKP_01940,IKCLMC_02997,PKJKAM_00703,ODDLKH_00705,LNHIMF_00229,AJBGEP_00233,HFCAGB_00233,GEGEGB_00235,BEJGEH_00243
group_2145,,DUF417 domain-containing protein,9,9,1.0,1,3173,,,,561,561,561.0,ONMMKP_01582,IKCLMC_02413,PKJKAM_03135,ODDLKH_01053,LNHIMF_00717,AJBGEP_00588,HFCAGB_00658,GEGEGB_02415,BEJGEH_00580
group_2144,,Spermidine N(1)-acetyltransferase,9,9,1.0,1,3172,,,,561,561,561.0,ONMMKP_00548,IKCLMC_04691,PKJKAM_04699,ODDLKH_01979,LNHIMF_01552,AJBGEP_01581,HFCAGB_01776,GEGEGB_01495,BEJGEH_01584
srlA,srlA,PTS glucitol/sorbitol transporter subunit IIC,9,9,1.0,1,3166,,,,564,564,564.0,ONMMKP_04033,IKCLMC_04054,PKJKAM_02566,ODDLKH_03249,LNHIMF_02864,AJBGEP_02987,HFCAGB_03036,GEGEGB_02873,BEJGEH_02818
group_2138,,Prepilin peptidase-dependent protein B,9,9,1.0,1,3165,,,,564,564,564.0,ONMMKP_03854,IKCLMC_03883,PKJKAM_02388,ODDLKH_03421,LNHIMF_03033,AJBGEP_03158,HFCAGB_03213,GEGEGB_03049,BEJGEH_03001
group_2137,,UPF0301 protein YPO0936/y3322/YP_3506,9,9,1.0,1,3164,,,,564,564,564.0,ONMMKP_03752,IKCLMC_03780,PKJKAM_00306,ODDLKH_03522,LNHIMF_03134,AJBGEP_03260,HFCAGB_03317,GEGEGB_03161,BEJGEH_03104
group_2136,,Para-aminobenzoate synthase glutamine amidotransferase component II,9,9,1.0,1,3163,,,,564,564,564.0,ONMMKP_03362,IKCLMC_02942,PKJKAM_03906,ODDLKH_03906,LNHIMF_03514,AJBGEP_03642,HFCAGB_03697,GEGEGB_04257,BEJGEH_03492
ampD,ampD,16-anhydro-N-acetylmuramyl-L-alanine amidase AmpD,9,9,1.0,1,3161,,,,564,564,564.0,ONMMKP_02025,IKCLMC_03076,PKJKAM_00789,ODDLKH_00627,LNHIMF_00152,AJBGEP_00154,HFCAGB_00153,GEGEGB_00161,BEJGEH_00158
group_2134,,Alkyl hydroperoxide reductase C,9,9,1.0,1,3160,,,,564,564,564.0,ONMMKP_01544,IKCLMC_02450,PKJKAM_03091,ODDLKH_01097,LNHIMF_00751,AJBGEP_00632,HFCAGB_00697,GEGEGB_02376,BEJGEH_00617
group_2133,,ABC-type transport auxiliary lipoprotein component domain-containing protein,9,9,1.0,1,3159,,,,564,564,564.0,ONMMKP_01072,IKCLMC_00588,PKJKAM_00074,ODDLKH_01468,LNHIMF_01097,AJBGEP_01064,HFCAGB_01113,GEGEGB_01959,BEJGEH_00970
group_2132,,Smr domain-containing protein,9,9,1.0,1,3158,,,,564,564,564.0,ONMMKP_00380,IKCLMC_04531,PKJKAM_04534,ODDLKH_02145,LNHIMF_01719,AJBGEP_01747,HFCAGB_01620,GEGEGB_01650,BEJGEH_01410
yfaZ,yfaZ,Outer membrane protein YfaZ,9,9,1.0,1,3151,,,,567,567,567.0,ONMMKP_04539,IKCLMC_01727,PKJKAM_02990,ODDLKH_02795,LNHIMF_02427,AJBGEP_02461,HFCAGB_02553,GEGEGB_00609,BEJGEH_02317
group_2125,,Putative phosphatase,9,9,1.0,1,3150,,,,567,567,567.0,ONMMKP_04046,IKCLMC_04065,PKJKAM_02579,ODDLKH_03236,LNHIMF_02851,AJBGEP_02974,HFCAGB_03023,GEGEGB_02860,BEJGEH_02805
yggT,yggT,Uncharacterized protein YggT,9,9,1.0,1,3149,,,,567,567,567.0,ONMMKP_03747,IKCLMC_03775,PKJKAM_00301,ODDLKH_03527,LNHIMF_03139,AJBGEP_03265,HFCAGB_03322,GEGEGB_03166,BEJGEH_03109
kdsC,kdsC,3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC,9,9,1.0,1,3148,,,,567,567,567.0,ONMMKP_03516,IKCLMC_03554,PKJKAM_01728,ODDLKH_03749,LNHIMF_03358,AJBGEP_03486,HFCAGB_03540,GEGEGB_03399,BEJGEH_03336
nrfB,nrfB,Cytochrome c-type protein NrfB,9,9,1.0,1,3147,,,,567,567,567.0,ONMMKP_02508,IKCLMC_01110,PKJKAM_01259,ODDLKH_00137,LNHIMF_04354,AJBGEP_04476,HFCAGB_04507,GEGEGB_04410,BEJGEH_04331
group_2124,,Elongation factor P,9,9,1.0,1,3146,,,,567,567,567.0,ONMMKP_02449,IKCLMC_01168,PKJKAM_01202,ODDLKH_00206,LNHIMF_04424,AJBGEP_04533,HFCAGB_04562,GEGEGB_04621,BEJGEH_04402
yaaH,yaaH,Inner membrane protein YaaH,9,9,1.0,1,3145,,,,567,567,567.0,ONMMKP_02169,IKCLMC_03220,PKJKAM_02115,ODDLKH_00484,LNHIMF_00009,AJBGEP_00009,HFCAGB_00009,GEGEGB_00009,BEJGEH_00009
group_2123,,D-glycero-beta-D-manno-heptose-17-bisphosphate 7-phosphatase,9,9,1.0,1,3144,,,,567,567,567.0,ONMMKP_01910,IKCLMC_02968,PKJKAM_00178,ODDLKH_00734,LNHIMF_00259,AJBGEP_00262,HFCAGB_00262,GEGEGB_00270,BEJGEH_00272
mntP,mntP,Putative manganese efflux pump MntP,9,9,1.0,1,3140,,,,567,567,567.0,ONMMKP_00202,IKCLMC_04352,PKJKAM_04355,ODDLKH_02322,LNHIMF_01902,AJBGEP_01927,HFCAGB_01441,GEGEGB_01106,BEJGEH_01231
yecD,yecD,Isochorismatase family protein YecD,9,9,1.0,1,3139,,,,567,567,567.0,ONMMKP_00126,IKCLMC_04268,PKJKAM_04271,ODDLKH_02392,LNHIMF_01974,AJBGEP_01999,HFCAGB_01311,GEGEGB_01038,BEJGEH_01163
yohD,yohD,Inner membrane protein YohD,9,9,1.0,1,3131,,,,570,570,570.0,ONMMKP_04657,IKCLMC_01842,PKJKAM_03972,ODDLKH_02668,LNHIMF_02314,AJBGEP_02334,HFCAGB_02435,GEGEGB_00730,BEJGEH_02204
ubiX,ubiX,Flavin prenyltransferase UbiX,9,9,1.0,1,3130,,,,570,570,570.0,ONMMKP_04478,IKCLMC_01664,PKJKAM_02930,ODDLKH_02857,LNHIMF_02487,AJBGEP_02523,HFCAGB_02616,GEGEGB_00548,BEJGEH_02379
ybaY,ybaY,Uncharacterized lipoprotein YbaY,9,9,1.0,1,3129,,,,570,570,570.0,ONMMKP_01688,IKCLMC_02249,PKJKAM_03291,ODDLKH_00952,LNHIMF_00490,AJBGEP_00486,HFCAGB_00491,GEGEGB_02517,BEJGEH_00474
group_2111,,Free methionine-R-sulfoxide reductase,9,9,1.0,1,3127,,,,570,570,570.0,ONMMKP_00189,IKCLMC_04339,PKJKAM_04342,ODDLKH_02334,LNHIMF_01914,AJBGEP_01939,HFCAGB_01428,GEGEGB_01093,BEJGEH_01218
group_2110,,VOC family protein,9,9,1.0,1,3126,,,,570,570,570.0,ONMMKP_00119,IKCLMC_04261,PKJKAM_04264,ODDLKH_02399,LNHIMF_01981,AJBGEP_02006,HFCAGB_01304,GEGEGB_01031,BEJGEH_01156
group_2107,,Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase,9,9,1.0,1,3122,,,,573,573,573.0,ONMMKP_04610,IKCLMC_01798,PKJKAM_03062,ODDLKH_02712,LNHIMF_02358,AJBGEP_02378,HFCAGB_02480,GEGEGB_00683,BEJGEH_02249
group_2106,,Glycine cleavage system transcriptional repressor,9,9,1.0,1,3121,,,,573,573,573.0,ONMMKP_04341,IKCLMC_01313,PKJKAM_02793,ODDLKH_02995,LNHIMF_02621,AJBGEP_02663,HFCAGB_02761,GEGEGB_00402,BEJGEH_02517
group_2104,,Peptidyl-prolyl cis-trans isomerase A,9,9,1.0,1,3118,,,,573,573,573.0,ONMMKP_03359,IKCLMC_02939,PKJKAM_03903,ODDLKH_03909,LNHIMF_03517,AJBGEP_03645,HFCAGB_03700,GEGEGB_04254,BEJGEH_03495
pagP,pagP,lipid IV(A) palmitoyltransferase PagP,9,9,1.0,1,3115,,,,573,573,573.0,ONMMKP_01524,IKCLMC_02470,PKJKAM_03071,ODDLKH_01118,LNHIMF_00772,AJBGEP_00652,HFCAGB_00720,GEGEGB_02354,BEJGEH_00638
group_2099,,RpoE-regulated lipoprotein,9,9,1.0,1,3111,,,,576,576,576.0,ONMMKP_04384,IKCLMC_01356,PKJKAM_02836,ODDLKH_02951,LNHIMF_02579,AJBGEP_02617,HFCAGB_02717,GEGEGB_00447,BEJGEH_02472
group_2098,,GDP-mannose pyrophosphatase,9,9,1.0,1,3110,,,,576,576,576.0,ONMMKP_04356,IKCLMC_01328,PKJKAM_02808,ODDLKH_02980,LNHIMF_02606,AJBGEP_02648,HFCAGB_02746,GEGEGB_00417,BEJGEH_02501
rpoE,rpoE,RNA polymerase sigma factor RpoE,9,9,1.0,1,3109,,,,576,576,576.0,ONMMKP_04238,IKCLMC_00121,PKJKAM_02688,ODDLKH_03095,LNHIMF_02722,AJBGEP_02831,HFCAGB_02868,GEGEGB_00291,BEJGEH_02623
dolP,dolP,Outer membrane lipoprotein DolP,9,9,1.0,1,3108,,,,576,576,576.0,ONMMKP_03565,IKCLMC_03604,PKJKAM_01779,ODDLKH_03697,LNHIMF_03309,AJBGEP_03432,HFCAGB_03488,GEGEGB_03350,BEJGEH_03284
lptC,lptC,Lipopolysaccharide export system protein LptC,9,9,1.0,1,3107,,,,576,576,576.0,ONMMKP_03515,IKCLMC_03553,PKJKAM_01727,ODDLKH_03750,LNHIMF_03359,AJBGEP_03487,HFCAGB_03541,GEGEGB_03400,BEJGEH_03337
nfuA,nfuA,NfuA family Fe-S biogenesis protein,9,9,1.0,1,3106,,,,576,576,576.0,ONMMKP_03320,IKCLMC_02900,PKJKAM_03862,ODDLKH_03948,LNHIMF_03556,AJBGEP_03686,HFCAGB_03740,GEGEGB_04214,BEJGEH_03538
yjdC,yjdC,HTH-type transcriptional regulator YjdC,9,9,1.0,1,3105,,,,576,576,576.0,ONMMKP_02461,IKCLMC_01156,PKJKAM_01214,ODDLKH_00194,LNHIMF_04412,AJBGEP_04521,HFCAGB_04550,GEGEGB_04609,BEJGEH_04390
yceI,yceI,Protein YceI,9,9,1.0,1,3104,,,,576,576,576.0,ONMMKP_00978,IKCLMC_00827,PKJKAM_00602,ODDLKH_01561,LNHIMF_01190,AJBGEP_01157,HFCAGB_02140,GEGEGB_01859,BEJGEH_01936
group_2094,,Cobalt-precorrin-6B C(15)-methyltransferase (decarboxylating),9,9,1.0,1,3100,,,,579,579,579.0,ONMMKP_04804,IKCLMC_02002,PKJKAM_04143,ODDLKH_02520,LNHIMF_02105,AJBGEP_02187,HFCAGB_02286,GEGEGB_00894,BEJGEH_02046
phsB,phsB,thiosulfate reductase electron transport protein PhsB,9,9,1.0,1,3099,,,,579,579,579.0,ONMMKP_04768,IKCLMC_01966,PKJKAM_04108,ODDLKH_02555,LNHIMF_02140,AJBGEP_02222,HFCAGB_02321,GEGEGB_00859,BEJGEH_02081
orgA,orgA,type III secretion system accessory cytosolic protein OrgA,9,9,1.0,1,3098,,,,579,579,579.0,ONMMKP_03993,IKCLMC_04015,PKJKAM_02527,ODDLKH_03288,LNHIMF_02903,AJBGEP_03026,HFCAGB_03075,GEGEGB_02910,BEJGEH_02857
group_2093,,ECF transporter S component,9,9,1.0,1,3097,,,,579,579,579.0,ONMMKP_03773,IKCLMC_03801,PKJKAM_00327,ODDLKH_03501,LNHIMF_03114,AJBGEP_03239,HFCAGB_03296,GEGEGB_03145,BEJGEH_03083
acpT,acpT,4'-phosphopantetheinyl transferase AcpT,9,9,1.0,1,3096,,,,579,579,579.0,ONMMKP_03256,IKCLMC_02826,PKJKAM_03798,ODDLKH_04022,LNHIMF_03617,AJBGEP_03761,HFCAGB_03816,GEGEGB_04155,BEJGEH_03612
group_2092,,Phosphoheptose isomerase,9,9,1.0,1,3095,,,,579,579,579.0,ONMMKP_01848,IKCLMC_02093,PKJKAM_03450,ODDLKH_00797,LNHIMF_00336,AJBGEP_00329,HFCAGB_00328,GEGEGB_02672,BEJGEH_00319
group_2090,,Ion-translocating oxidoreductase complex subunit B,9,9,1.0,1,3093,,,,579,579,579.0,ONMMKP_00589,IKCLMC_04735,PKJKAM_00196,ODDLKH_01938,LNHIMF_01508,AJBGEP_01540,HFCAGB_01819,GEGEGB_01400,BEJGEH_01627
nudL,nudL,Uncharacterized Nudix hydrolase NudL,9,9,1.0,1,3092,,,,579,579,579.0,ONMMKP_00210,IKCLMC_04360,PKJKAM_04363,ODDLKH_02314,LNHIMF_01894,AJBGEP_01919,HFCAGB_01449,GEGEGB_01114,BEJGEH_01239
flhC,flhC,Flagellar transcriptional regulator FlhC,9,9,1.0,1,3091,,,,579,579,579.0,ONMMKP_00102,IKCLMC_04244,PKJKAM_04248,ODDLKH_02416,LNHIMF_01998,AJBGEP_02022,HFCAGB_01288,GEGEGB_01014,BEJGEH_01140
group_2086,,dCTP deaminase,9,9,1.0,1,3087,,,,582,582,582.0,ONMMKP_04716,IKCLMC_01902,PKJKAM_04045,ODDLKH_02615,LNHIMF_02263,AJBGEP_02282,HFCAGB_02382,GEGEGB_00794,BEJGEH_02141
yqiA,yqiA,Esterase YqiA,9,9,1.0,1,3086,,,,582,582,582.0,ONMMKP_03647,IKCLMC_03691,PKJKAM_01906,ODDLKH_03610,LNHIMF_03225,AJBGEP_03350,HFCAGB_03406,GEGEGB_03257,BEJGEH_03199
group_2085,,Acyl carrier protein phosphodiesterase,9,9,1.0,1,3085,,,,582,582,582.0,ONMMKP_01752,IKCLMC_02185,PKJKAM_03355,ODDLKH_00888,LNHIMF_00430,AJBGEP_00422,HFCAGB_00426,GEGEGB_02587,BEJGEH_00412
group_2084,,Superoxide dismutase [Fe],9,9,1.0,1,3084,,,,582,582,582.0,ONMMKP_00616,IKCLMC_04762,PKJKAM_00086,ODDLKH_01911,LNHIMF_01481,AJBGEP_01513,HFCAGB_01847,GEGEGB_01374,BEJGEH_01653
group_2083,,Ion-translocating oxidoreductase complex subunit A,9,9,1.0,1,3083,,,,582,582,582.0,ONMMKP_00588,IKCLMC_04734,PKJKAM_00195,ODDLKH_01939,LNHIMF_01509,AJBGEP_01541,HFCAGB_01818,GEGEGB_01401,BEJGEH_01626
yeaY,yeaY,Uncharacterized lipoprotein YeaY,9,9,1.0,1,3082,,,,582,582,582.0,ONMMKP_00216,IKCLMC_04366,PKJKAM_04369,ODDLKH_02308,LNHIMF_01888,AJBGEP_01913,HFCAGB_01455,GEGEGB_01120,BEJGEH_01245
group_2080,,UPF0149 protein NT01EI_3357,9,9,1.0,1,3079,,,,585,585,585.0,ONMMKP_03788,IKCLMC_03816,PKJKAM_00342,ODDLKH_03486,LNHIMF_03099,AJBGEP_03224,HFCAGB_03280,GEGEGB_03127,BEJGEH_03068
group_2075,,Multifunctional acyl-CoA thioesterase I/protease I/lysophospholipase L1,9,9,1.0,1,3074,,,,585,585,585.0,ONMMKP_01646,IKCLMC_02292,PKJKAM_03248,ODDLKH_00994,LNHIMF_00533,AJBGEP_00528,HFCAGB_00533,GEGEGB_02474,BEJGEH_00519
kdpC,kdpC,potassium-transporting ATPase subunit KdpC,9,9,1.0,1,3073,,,,585,585,585.0,ONMMKP_01448,IKCLMC_00452,PKJKAM_00418,ODDLKH_01197,LNHIMF_00845,AJBGEP_00730,HFCAGB_00799,GEGEGB_02282,BEJGEH_00718
group_2074,,[ribosomal protein uS5]-alanine N-acetyltransferase,9,9,1.0,1,3072,,,,585,585,585.0,ONMMKP_00968,IKCLMC_00837,PKJKAM_00592,ODDLKH_01571,LNHIMF_01200,AJBGEP_01167,HFCAGB_02130,GEGEGB_01849,BEJGEH_01926
group_2073,,Peptidyl-tRNA hydrolase,9,9,1.0,1,3071,,,,585,585,585.0,ONMMKP_00253,IKCLMC_04405,PKJKAM_04406,ODDLKH_02271,LNHIMF_01850,AJBGEP_01874,HFCAGB_01493,GEGEGB_01160,BEJGEH_01284
group_2069,,Yip1 domain-containing protein,9,9,1.0,1,3066,,,,588,588,588.0,ONMMKP_04658,IKCLMC_01843,PKJKAM_03973,ODDLKH_02667,LNHIMF_02313,AJBGEP_02333,HFCAGB_02434,GEGEGB_00731,BEJGEH_02203
group_2068,,Cysteine/O-acetylserine efflux protein,9,9,1.0,1,3065,,,,588,588,588.0,ONMMKP_04233,IKCLMC_00126,PKJKAM_02683,ODDLKH_03100,LNHIMF_02727,AJBGEP_02836,HFCAGB_02873,GEGEGB_00286,BEJGEH_02628
hisH,hisH,Imidazole glycerol phosphate synthase subunit HisH,9,9,1.0,1,3061,,,,591,591,591.0,ONMMKP_04753,IKCLMC_01951,PKJKAM_04094,ODDLKH_02569,LNHIMF_02213,AJBGEP_02236,HFCAGB_02335,GEGEGB_00843,BEJGEH_02095
diaA,diaA,DnaA initiator-associating protein DiaA,9,9,1.0,1,3059,,,,591,591,591.0,ONMMKP_03566,IKCLMC_03605,PKJKAM_01780,ODDLKH_03696,LNHIMF_03308,AJBGEP_03431,HFCAGB_03487,GEGEGB_03349,BEJGEH_03283
slyD,slyD,FKBP-type peptidyl-prolyl cis-trans isomerase SlyD,9,9,1.0,1,3058,,,,591,591,591.0,ONMMKP_03376,IKCLMC_02956,PKJKAM_03920,ODDLKH_03892,LNHIMF_03500,AJBGEP_03628,HFCAGB_03684,GEGEGB_04273,BEJGEH_03478
mtlR,mtlR,mannitol operon repressor MtlR,9,9,1.0,1,3057,,,,591,591,591.0,ONMMKP_03144,IKCLMC_02716,PKJKAM_03688,ODDLKH_04131,LNHIMF_03722,AJBGEP_03871,HFCAGB_03927,GEGEGB_04043,BEJGEH_03724
uhpA,uhpA,Transcriptional regulatory protein UhpA,9,9,1.0,1,3056,,,,591,591,591.0,ONMMKP_03043,IKCLMC_02621,PKJKAM_03587,ODDLKH_04236,LNHIMF_03833,AJBGEP_03977,HFCAGB_04032,GEGEGB_03930,BEJGEH_03836
group_2063,,DUF416 domain-containing protein,9,9,1.0,1,3055,,,,591,591,591.0,ONMMKP_02616,IKCLMC_00261,PKJKAM_00219,ODDLKH_00027,LNHIMF_04205,AJBGEP_04368,HFCAGB_04417,GEGEGB_03640,BEJGEH_04219
group_2062,,Protein/nucleic acid deglycase 3,9,9,1.0,1,3054,,,,591,591,591.0,ONMMKP_01721,IKCLMC_02216,PKJKAM_03324,ODDLKH_00919,LNHIMF_00459,AJBGEP_00453,HFCAGB_00457,GEGEGB_02556,BEJGEH_00441
lptE,lptE,LPS-assembly lipoprotein LptE,9,9,1.0,1,3053,,,,591,591,591.0,ONMMKP_01505,IKCLMC_02489,PKJKAM_00389,ODDLKH_01138,LNHIMF_00791,AJBGEP_00671,HFCAGB_00739,GEGEGB_02335,BEJGEH_00657
group_2061,,HTH tetR-type domain-containing protein,9,9,1.0,1,3052,,,,591,591,591.0,ONMMKP_00364,IKCLMC_04515,PKJKAM_04518,ODDLKH_02160,LNHIMF_01735,AJBGEP_01762,HFCAGB_01604,GEGEGB_01666,BEJGEH_01394
group_2060,,GTP cyclohydrolase-2,9,9,1.0,1,3051,,,,591,591,591.0,ONMMKP_00327,IKCLMC_04478,PKJKAM_04480,ODDLKH_02197,LNHIMF_01776,AJBGEP_01801,HFCAGB_01567,GEGEGB_01710,BEJGEH_01357
group_2059,,Corrinoid adenosyltransferase,9,9,1.0,1,3050,,,,591,591,591.0,ONMMKP_00317,IKCLMC_04469,PKJKAM_04470,ODDLKH_02206,LNHIMF_01786,AJBGEP_01810,HFCAGB_01557,GEGEGB_01720,BEJGEH_01347
group_2054,,Decarboxylase,9,9,1.0,1,3044,,,,594,594,594.0,ONMMKP_03941,IKCLMC_03964,PKJKAM_02474,ODDLKH_03339,LNHIMF_02951,AJBGEP_03077,HFCAGB_03125,GEGEGB_02958,BEJGEH_02910
group_2053,,dITP/XTP pyrophosphatase,9,9,1.0,1,3043,,,,594,594,594.0,ONMMKP_03745,IKCLMC_03773,PKJKAM_00299,ODDLKH_03529,LNHIMF_03141,AJBGEP_03267,HFCAGB_03324,GEGEGB_03168,BEJGEH_03111
group_2052,,dTTP/UTP pyrophosphatase,9,9,1.0,1,3042,,,,594,594,594.0,ONMMKP_03461,IKCLMC_03498,PKJKAM_01672,ODDLKH_03805,LNHIMF_03415,AJBGEP_03542,HFCAGB_03597,GEGEGB_03456,BEJGEH_03393
group_2051,,HTH luxR-type domain-containing protein,9,9,1.0,1,3041,,,,594,594,594.0,ONMMKP_00866,IKCLMC_01011,PKJKAM_00495,ODDLKH_01739,LNHIMF_01311,AJBGEP_01342,HFCAGB_02026,GEGEGB_01206,BEJGEH_01823
group_2046,,Ribosomal RNA small subunit methyltransferase D,9,9,1.0,1,3036,,,,597,597,597.0,ONMMKP_03267,IKCLMC_02837,PKJKAM_03809,ODDLKH_04011,LNHIMF_03606,AJBGEP_03750,HFCAGB_03805,GEGEGB_04166,BEJGEH_03601
slmA,slmA,Nucleoid occlusion factor SlmA,9,9,1.0,1,3035,,,,597,597,597.0,ONMMKP_03097,IKCLMC_02669,PKJKAM_03641,ODDLKH_04178,LNHIMF_03766,AJBGEP_03918,HFCAGB_03975,GEGEGB_03995,BEJGEH_03771
group_2045,,DUF1454 domain-containing protein,9,9,1.0,1,3034,,,,597,597,597.0,ONMMKP_02699,IKCLMC_00753,PKJKAM_01419,ODDLKH_04531,LNHIMF_04126,AJBGEP_04281,HFCAGB_04326,GEGEGB_03723,BEJGEH_04137
caiE,caiE,Carnitine operon protein CaiE,9,9,1.0,1,3033,,,,597,597,597.0,ONMMKP_02109,IKCLMC_03159,PKJKAM_02052,ODDLKH_00546,LNHIMF_00071,AJBGEP_00073,HFCAGB_00072,GEGEGB_00073,BEJGEH_00072
group_2044,,Ribonuclease HII,9,9,1.0,1,3032,,,,597,597,597.0,ONMMKP_01929,IKCLMC_02986,PKJKAM_00158,ODDLKH_00716,LNHIMF_00240,AJBGEP_00244,HFCAGB_00244,GEGEGB_00246,BEJGEH_00254
group_2043,,NAD(P)H dehydrogenase (quinone),9,9,1.0,1,3031,,,,597,597,597.0,ONMMKP_01019,IKCLMC_00640,PKJKAM_00645,ODDLKH_01520,LNHIMF_01149,AJBGEP_01116,HFCAGB_01165,GEGEGB_01901,BEJGEH_01021
group_2042,,Tellurite methyltransferase,9,9,1.0,1,3030,,,,597,597,597.0,ONMMKP_00437,IKCLMC_04584,PKJKAM_04587,ODDLKH_02092,LNHIMF_01666,AJBGEP_01694,HFCAGB_01675,GEGEGB_01597,BEJGEH_01468
group_2041,,Hydrogenase 1 maturation protease,9,9,1.0,1,3029,,,,597,597,597.0,ONMMKP_00247,IKCLMC_04397,PKJKAM_04400,ODDLKH_02277,LNHIMF_01857,AJBGEP_01880,HFCAGB_01486,GEGEGB_01153,BEJGEH_01276
msrQ,msrQ,protein-methionine-sulfoxide reductase heme-binding subunit MsrQ,9,9,1.0,1,3028,,,,600,600,600.0,ONMMKP_03454,IKCLMC_03491,PKJKAM_01665,ODDLKH_03812,LNHIMF_03422,AJBGEP_03549,HFCAGB_03604,GEGEGB_03463,BEJGEH_03400
group_2040,,Phosphatase,9,9,1.0,1,3027,,,,600,600,600.0,ONMMKP_02757,IKCLMC_00695,PKJKAM_01477,ODDLKH_04473,LNHIMF_04068,AJBGEP_04223,HFCAGB_04268,GEGEGB_03783,BEJGEH_04076
ydjM,ydjM,Inner membrane protein YdjM,9,9,1.0,1,3025,,,,600,600,600.0,ONMMKP_00808,IKCLMC_04874,PKJKAM_00913,ODDLKH_01796,LNHIMF_01369,AJBGEP_01399,HFCAGB_01961,GEGEGB_01270,BEJGEH_01765
